comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
 thumbs up for that," Google!""",@zainbiradar,9397,2023-10-04T15:09:49Z,positive,False,False,,False,,False,,False,,False,,False,
@Sid_srinath,10295,2023-10-04T14:49:13Z,positive,False,False,,False,,False,,False,,False,,False,,,
" we are interested in how the thermals and battery performance are resolved.""",@LofiKid10,8978,2023-10-04T14:32:39Z,neutral,True,True,positive,True,neutral,False,,False,,False,,False,,
" and I can't deny these things:\n- The blue looks really nice.\n- The phones feel super good in the hand.\n- They feel fast.\n- 7 years of software updates is a lot.""",@iAmThatOneDuck,519,2023-10-06T18:10:12Z,positive,True,False,,False,True,positive,False,,True,positive,False,,False,
" last three of them without updates... 7 years of updates is actually insane. It means a lot for sustainability imo""",@xDorade,848,2023-10-04T20:09:56Z,positive,False,False,,False,,False,,False,,False,,False,,
@ritzz5589,4150,2023-10-04T14:33:32Z,positive,False,False,,False,,False,,False,,False,,False,,,
" I think pixel is gonna make it's brand way more recognizable due to the fact that people are gonna use these over the years and it's still gonna be somehow relevant due to software updates""",@ernon69,319,2023-10-07T16:40:06Z,positive,False,False,,False,,False,,False,,False,,False,,
" not to force it to look how you would have liked it to look like.""",@MrUnknownXD,379,2023-10-04T14:49:29Z,negative,True,False,,False,,False,,False,,False,,False,,
 as a long time apple user," this Pixel is tempting. 7 years support and awesome software. This reminds me of the good old days of smartphone evolution where each year gives us something completely new.""",@alno7199,596,2023-10-05T02:13:29Z,positive,False,False,,False,,False,,False,,False,,False,
@xivi13ix,772,2023-10-05T07:34:49Z,negative,True,True,negative,False,,False,,False,,False,,False,,,
@robertyoung8615,14,2023-10-08T23:42:09Z,positive,False,False,,False,,False,,False,,False,,False,,,
@kindofanmol,1250,2023-10-04T15:49:02Z,positive,False,False,,False,,False,,False,,False,,False,,,
@entropysalamander,376,2023-10-04T23:03:27Z,positive,True,True,positive,False,,False,,False,,False,,False,,,
 nothing unnecessary," straight to the point. I've got all the information that I needed 😊""",@26mamun,111,2023-10-07T03:54:30Z,positive,False,False,,False,,False,,False,,False,,False,
@AmanRajput-pj5wp,429,2023-10-04T15:17:03Z,positive,False,False,,False,,False,,False,,False,,False,,,
" 7 yrs of software support is amazing . Huge thumbs up for google !!""",@deepanshbhadre2050,556,2023-10-04T14:59:41Z,positive,False,False,,False,,False,,False,,False,,False,,
@__entiendo,248,2023-10-04T18:30:30Z,positive,True,True,positive,False,,False,,False,,False,,False,,,
@harenk,148,2023-10-06T22:30:23Z,positive,True,True,positive,False,,False,,False,,False,,False,,,
@doctorrobert60,236,2023-10-04T17:34:32Z,positive,False,False,,False,,False,,False,,False,,False,,,
@TemProduction,50,2023-10-04T17:55:17Z,positive,False,False,,False,,False,,False,,False,,False,,,
