comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
UgxCDPTGqFdOcqu2i_t4AaABAg,The smoothness of the animations is what makes the Dynamic Island so appealing. They really nailed it.,@alexandretherrien1234,27204,2022-09-08T06:12:24Z,positive,True,False,,False,,False,,False,,True,positive,False,
UgzeUJs5KfnCYlDvXZ14AaABAg,"""I think the older iPhones are just a great deal now. The upgrades on the new ones aren’t that groundbreaking but the prices on the old ones present great value.""",@vinayakofficial,4837,2022-09-08T16:27:01Z,neutral,True,False,,False,,False,,False,,False,,True,positive
UgwGLCwYYigrm5kHZ994AaABAg,"""Honestly the Dynamic Island took me by complete surprise. Ended up being one of my favorite features announced in the event""",@TechieConnoisseur,8070,2022-09-08T05:35:02Z,positive,True,False,,False,,False,,False,,True,positive,False,
Ugyk_7t96ByvjQ0D-rx4AaABAg,"""2:25 Shoutout to Rajiv Makhni the OG Indian tech expert""",@kaivalyashah,33,2022-09-08T06:25:18Z,positive,False,False,,False,,False,,False,,False,,False,
UgwWwmOLvqLGrtMZ0Mx4AaABAg,"""The dynamic island is a good design""",@TimeBucks,357,2022-09-09T06:40:48Z,positive,True,False,,False,,False,,False,,True,positive,False,
UgzjTtQNkNkZA-cxQsl4AaABAg,"""The pricing on the iPhones actually has changed drastically in many countries in Europe with them all costing approximately 200€ more than the same model last year at its launch.""",@gamac_1,2015,2022-09-08T22:08:26Z,neutral,True,False,,False,,False,,False,,False,,True,negative
UgxPc3FO16pABQGAuBd4AaABAg,"""The fact that the FaceID animation will grow out of the Dynamic Island — and thus draw your eyes to where the camera actually is — just feels so nice! Surprise and delight. They nailed the UI/UX on this!""",@ScottSmithDev,1382,2022-09-08T06:44:37Z,positive,True,True,positive,False,,False,,False,,True,positive,False,
UgybDhTW2JG-uqnmGGp4AaABAg,"""Marques saying """"You remember back in the day"""" when referring to hole punch cutouts and the wallpapers taking advantage of them when they were introduced like max 3 years ago really puts into perspective how rapidly some design language and engineering elements change in the mobile phone sphere""",@tjdrescher8571,176,2022-09-08T06:10:24Z,neutral,True,False,,False,,False,,False,,True,neutral,False,
Ugzre1nrfJqlnJjSvN14AaABAg,"""Whoever the genius was that came up with """"Dynamic Island"""" to turn a downside (the pill) into an upside deserves a bonus and a promotion.""",@AzureSteel,689,2022-09-08T05:39:20Z,positive,True,False,,False,,False,,False,,False,,False,
UgxlEV0S7m6-IB1A01V4AaABAg,"""So", my theory is that the pill camera over however many years will end up as under display cameras, or they may make the pill smaller for screen to body ratio and become too small for dynamic island (lol) to function. But I think this maybe be too good a feature to lose in future models so - they have a larger, touch bar like design combined with dynamic island UI and features at the bottom of the screen and make the screen slightly taller 6.8-6.9 inch.,,,,,,,,,,,,,,
Lets see how that ages,,,,,,,,,,,,,,,,,,
edit: will we all not get sick of reaching to the top of,,,,,,,,,,,,,,,,,,
"the screen as well after a while?""",@jackery_guitar4062,43,2022-09-11T20:28:40Z,neutral,True,True,neutral,False,,False,,True,negative,True,neutral,True,negative,
UgxHb1gzC4O0ggxVu4h4AaABAg,"""Prices have gone up a crazy amount in EU. I was excited about maybe buying the 14 pro max but starting at almost 1500€ is just nuts.""",@karlosairsoft,764,2022-09-08T13:53:04Z,negative,True,False,,False,,False,,False,,False,,True,negative
Ugx-hmtGMvje1gSJgmR4AaABAg,"""It also dynamically changes your financial situation 👍""",@goldn3041,8,2022-09-15T12:28:01Z,positive,True,False,,False,,False,,False,,False,,False,
UgzhdRtmsV7-Ee2jY994AaABAg,"""The “dynamic island” is a very well method to play off the camera and sensors and will actually be useful which could also mean that the pill will be sticking around for a long time""",@bryanbroacosta,866,2022-09-09T19:57:30Z,positive,True,True,positive,False,,False,,False,,False,,False,
UgxEnyabIqS8YzNDQyh4AaABAg,"""The windows wallpaper on his macbook pro and the way the folders are lined up according to the light rays❤️",,,,,,,,,,,,,,,,,
"the detailing in his videos is too good""",@shubhamkaushik5231,1573,2022-09-08T10:07:28Z,positive,False,False,,False,,False,,False,,False,,False,,
UgxBX4aHrBinif4NlVZ4AaABAg,"""How the mood in the room changes in the room as the sun sets is a really nice effect.""",@CraigPulliam,2,2022-09-13T17:52:37Z,positive,False,False,,False,,False,,False,,False,,False,
Ugz0YzzM7yBR5nV-bd94AaABAg,"""Prices increased here in Ireland for 14 Pro vs last year's 13 Pro.",,,,,,,,,,,,,,,,,
Ugy476oLhlFV2mXJ_Vx4AaABAg,"""I’m a little disappointed that Apple give up the mini. I really like the size of it (even if the battery isn’t the best it works for me). But great video as always 👍""",@TheGrillsVante,146,2022-09-08T06:28:00Z,neutral,True,False,,False,,False,,False,,False,,False,
UgzwxFDIf3_G9DQKtXN4AaABAg,"""I do love the battery and hardware and processing the ration between processing power/ battery power is insane.""",@03godzilla28,32,2022-09-08T11:35:37Z,positive,True,False,,False,,True,positive,False,,False,,False,
UgwqLLR3rYYdPG1KzVV4AaABAg,"""Did i see Rajeev Makhni near about 2:30 mins""",@AayushKarwatkar,29,2022-09-08T06:20:38Z,neutral,False,False,,False,,False,,False,,False,,False,
UgyB6_pv8MOL6gYahb54AaABAg,"""I’m actually impressed with the “Dynamic island”. They made the space up top functional and introduced a new way to use the iPhone. I think it’s safe to say we should expect this to be around for at least the next few years""",@Ccg9024,760,2022-09-08T07:50:31Z,positive,True,False,,False,,False,,False,,False,,False,
UgwvwVi7KJNTju629CJ4AaABAg,"""4:09 Action Mode feature “it seems like it works best in certain types of shots… like the ones they use in their demos” 😂 😂 love the subtle dig 😅""",@DavidSid,0,2022-09-12T00:33:06Z,positive,True,True,positive,False,,False,,False,,False,,False,
UgwilnYk2L3bbRRNw2R4AaABAg,"""This was a super impressive video you've been able to put out just from your hotel room; from scripting to setup to everything. Awesome job dude""",@moneeb343,254,2022-09-08T15:15:54Z,positive,False,False,,False,,False,,False,,False,,False,
