comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
"""It’s like this phone isn’t even designed to be sold as an actual product"," just designed to make the more expensive iPhones look like better deals""",@codered47819,26532,2025-02-27T06:14:42Z,negative,True,False,,False,,False,,False,,True,negative,False,
"""That intro / outro was spot-on. """"Who ARE you?""""""",@SalemTechsperts,11873,2025-02-27T02:20:45Z,positive,False,False,,False,,False,,False,,False,,False,,
"""The intro summarised everything perfectly.""",@klasssavage6581,15255,2025-02-27T08:00:36Z,positive,False,False,,False,,False,,False,,False,,False,,
"""Im still on an iPhone 11 Pro Max. It refuses to die on me and still fulfils most of my use cases. Best iPhone I have ever owned.""",@jdoyleweb,374,2025-03-03T04:20:56Z,positive,True,False,,True,positive,False,,False,,False,,False,,
"""All they had to do was not remove magsafe and price it at $499.""",@Chirxg,8594,2025-02-27T02:41:01Z,negative,True,False,,False,,False,,False,,False,True,negative,,
"""iPhone 16e is like the small popcorns and small icees at movie theaters that try to make the medium and large options look like better deals""",@IntellectualPelican,742,2025-03-01T02:51:45Z,negative,True,False,,False,,False,,False,,False,,False,,
"""this 16e at $599 is just a setup for future price rising of a base iPhone model to $899""",@hannimercer2531,3453,2025-02-27T13:49:00Z,negative,True,False,,False,,False,,False,,False,True,negative,,
"""DBrand ad was so smooth I almost didn't notice it. More creators need to be doing this... Good on you bruh""",@seethestudios3179,31,2025-03-04T05:41:08Z,positive,False,False,,False,,False,,False,,False,,False,,
"""""""Nobody ever asks for that."""" After Apple Intelligence couldnt be more real.""",@ryans.9611,4461,2025-02-27T02:37:22Z,negative,False,False,,False,,False,,False,,False,,False,,
"""I hate higher refresh rate is wild😭""",@Sak-76,12148,2025-02-27T06:24:59Z,negative,True,False,,False,,False,,True,negative,False,,False,,
"""I wish they would have just released an iPhone 16 Mini instead. I don't get why Apple doesn't believe there's a market for smaller phones.""",@pho3nix-,45,2025-03-14T23:09:46Z,negative,True,False,,False,,False,,False,,True,negative,False,,
"""MoustacheKBHD needs to make more appearances""",@ColinCreighton,10656,2025-02-27T03:01:42Z,positive,False,False,,False,,False,,False,,False,,False,,
"""I remember when this was for the top of the line flagship phone price.  ",,,,,,,,,,,,,,,,,,
@BowtieJDP,539,2025-02-28T21:23:24Z,negative,True,False,,False,,False,,False,,False,True,negative,,,
"""It's very easy to Apple make the 16e more affordable. Just need to raise the prices for the next generations of the regular ones.""",@MuitoDaora,350,2025-02-27T02:10:15Z,negative,True,False,,False,,False,,False,,False,True,negative,,
"""-What features do you want in your phone?",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@iHiFiAudio,6,2025-03-07T13:31:20Z,negative,True,False,,False,,False,,False,,False,True,negative,,,
"""Marques with a thick stache make him look like he’s Steve Harvey’s son 🤣""",@reversal,1096,2025-02-27T02:02:47Z,positive,False,False,,False,,False,,False,,False,,False,,
"""1 camera"," no MagSafe and $599 for a budget iPhone in 2025 is crazy""",@JustAPersonWhoComments,2425,2025-02-27T03:00:10Z,negative,True,True,negative,False,,False,,False,,False,True,negative,
"""That intro skit is the LIFE of a sales rep in the phone industry. You captured our struggles perfectly""",@ItsCamplicated,160,2025-02-27T02:41:20Z,positive,False,False,,False,,False,,False,,False,,False,,
"""If anyone has seen the iPhone design team since 2017 can you let me know. They came to work for a day around 3-4 years ago and added a flat edge"," it was a really revolutionary day and they haven’t been seen since""",@leesmusic1,71,2025-02-27T18:44:59Z,neutral,True,False,,False,,False,,False,,True,negative,False,
"""My guess is that in apple’s mind the “e” stands for essentials - the only problem that the essentials are a 600$ price tag""",@Ohadberry,428,2025-02-28T08:36:02Z,negative,True,False,,False,,False,,False,,False,True,negative,,
"""I I actually never seen anybody with this phone until I seen the MLB Japan series game. A lot of Japanese people were holding them up every time Shohei ohtani came to bat""",@Kenzo8110,1,2025-03-30T05:13:48Z,neutral,True,False,,False,,False,,False,,False,,False,,
"""The intro was absolute cinema""",@filmaeditz2448,3502,2025-02-27T05:40:56Z,positive,False,False,,False,,False,,False,,False,,False,,
"""The saddest thing about this phone is not the single camera", nor the 60HZ, nor even the missing Magsafe.,,,,,,,,,,,,,,,,
@CheeeseGrilled,407,2025-02-27T11:05:38Z,negative,True,True,negative,False,,False,,True,negative,False,,,,,
"""I remember when this was the price of the top-tier flagship phone.  ",,,,,,,,,,,,,,,,,,
@Mollieogers,258,2025-03-02T18:41:02Z,negative,True,False,,False,,False,,False,,False,True,negative,,,
"""this is by FAR the best depiction of this phone. i was tired of hearing mixed views on this phone"," when there's objectively only one answer.""",@dhyan3421,361,2025-02-27T06:01:41Z,positive,True,False,,False,,False,,False,,False,,False,
"""That intro was TOP TIER. I love the skit.""",@jonmarc876,1490,2025-02-27T02:18:26Z,positive,False,False,,False,,False,,False,,False,,False,,
"""The product red was literally my favorite color of all time they neeed to bring that Jawn back""",@asimizlewis6262,417,2025-02-27T03:06:16Z,positive,True,False,,False,,False,,False,True,positive,False,,,
"""Laughing my ass off at the confident head nodding 1:30 😂😂😂😂""",@kristybeer7371,138,2025-02-27T04:36:36Z,positive,False,False,,False,,False,,False,,False,,False,,
"""I like how Marques has a mustache but he got a fake mustache """"to differentiate the character from himself"""" for the intro.",,,,,,,,,,,,,,,,,,
@TheSektorz,401,2025-02-27T08:44:53Z,positive,False,False,,False,,False,,False,,False,,False,,,
"""The trajectory of iPhones lately has me wanting to just keep my 13 Pro until it literally dies.""",@omgneal7016,754,2025-02-28T01:37:09Z,negative,True,False,,False,,False,,False,,False,,False,,
"""The best intro in an MKBHD video ever! The rest of the video is great too"," very well thought out and planned video. The phone that doesn't make sense.""",@coolpoete,203,2025-02-27T05:45:00Z,neutral,True,False,,False,,False,,False,,False,,False,
"""Intro is spot on. Not small or cheap", no audience," & unique casing w/A18 adds cost. They could’ve made another mini wo action button & the A17. If u can’t get the person an ugly sibling won’t do 😆""",@thekhakiobserver3128,46,2025-03-01T02:49:12Z,negative,True,False,,False,,False,,True,negative,True,negative,
"""You can’t call it a budget iPhone when it’s still just $600""",@joshuarmost,2,2025-03-21T02:04:06Z,negative,True,False,,False,,False,,False,,False,True,negative,,
"""I still firmly believe they should've put it in the body of the 13 Mini to bring back the small iPhone"," during my time working for T-Mobile the amount of people who wanted a new Mini was astonishing""",@BenjaminFox99,386,2025-02-27T14:10:07Z,negative,True,False,,False,,False,,True,negative,False,,,
"""iPhone 16e is like the (really weird) middle child. 😂""",@乂,60,2025-02-27T02:21:09Z,negative,True,False,,False,,False,,False,,False,,False,,
"""By far the best intro you’ve done. Really emphasized the fact this phone is something no one asked for""",@jonathanespinosa5409,71,2025-02-27T16:18:42Z,negative,True,False,,False,,False,,False,,False,,False,,
"""It's me! I am switching from a very old android phone and i think it should be apple because I'm hopeful that Apple AI will be able to run locally.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@arthurdiness1162,4,2025-03-05T12:26:43Z,positive,True,False,,True,positive,True,positive,False,,True,positive,False,,,
"""60 Hz refresh rate in 2025 is insane""",@LILGHETTI,1648,2025-02-27T03:08:31Z,negative,True,False,,False,,False,,True,negative,False,,False,,
"""appreciate the obvious indicator for the ad - feels more honest than the typical youtube ad""",@SneakyMonkeh,99,2025-02-27T03:27:55Z,positive,False,False,,False,,False,,False,,False,,False,,
"""The default phone with every new business contract. THAT is what this iPhone is for.""",@pilcrow1546,141,2025-02-27T22:06:57Z,neutral,True,False,,False,,False,,False,,False,,False,,
"""I remember when bro was making galaxy sIII Videos 🤯""",@ssgflora4881,1,2025-03-30T12:02:04Z,neutral,False,False,,False,,False,,False,,False,,False,,
"""8:22 """"Please be kind and take one. Thank you""""",,,,,,,,,,,,,,,,,,
@WINGFO,34,2025-02-27T13:30:38Z,neutral,False,False,,False,,False,,False,,False,,False,,,
"""Part of what makes the SE so great though was the thumb print sensor!  It’s great that by the time I pull out my phone from my pocket it is already open""",@BOB13241,237,2025-02-28T05:25:53Z,positive,True,False,,False,,False,,False,,False,,False,,
""".... Did you put a mustache... On top of your mustache? 😂""",@saiyan689,0,2025-03-03T03:37:37Z,positive,False,False,,False,,False,,False,,False,,False,,
"""Brilliant Intro and great Review!""",@Silvia6,285,2025-02-27T12:01:58Z,positive,False,False,,False,,False,,False,,False,,False,,
"""1.	The iPhone 16e should be priced between $399 and $449", with a maximum of $499.,,,,,,,,,,,,,,,,,
 as it impacts the Apple ecosystem.,,,,,,,,,,,,,,,,,,
" ideally with a 1X cinematic mode if possible.""",@riyasvkd2236,78,2025-02-27T18:45:08Z,neutral,True,True,neutral,False,,False,,False,,False,True,negative,,
"""iPhone 16 e waste edition?""",@HardikUmretiyaVlogs,3010,2025-02-27T03:31:13Z,negative,True,False,,False,,False,,False,,False,,False,,
"""This intro was one of the best I have ever seen!!!""",@victorAmorimSanto,329,2025-02-27T12:56:44Z,positive,False,False,,False,,False,,False,,False,,False,,
"""The intro- one of the best i've seen lately.""",@muhkin3,151,2025-02-27T05:21:55Z,positive,False,False,,False,,False,,False,,False,,False,,
"""I actually enjoyed the Ad experience"," normally I’d skip but watching the green line progression was oddly satisfying lol. Well done.""",@ShadowBarrett,131,2025-02-27T04:53:07Z,positive,False,False,,False,,False,,False,,False,,False,
"""Remember when you bought a new thing"," and it was better than the old thing? Wild times""",@killerkoalas3573,133,2025-02-27T05:30:18Z,neutral,False,False,,False,,False,,False,,False,,False,
"""That intro sketch was amazing lol 😂😂😂😂😭😭😭""",@waynelangat4170,337,2025-02-27T04:19:22Z,positive,False,False,,False,,False,,False,,False,,False,,
"""This should have had 5.4 inch screen.""",@tobias9031,1,2025-03-30T19:19:05Z,negative,True,False,,False,,False,,True,negative,False,,,,
"""Intro was 🔥 Decent acting"," Marques!""",@revirdkcalb,130,2025-02-27T06:35:38Z,positive,False,False,,False,,False,,False,,False,,False,
"""The camera on it is the same size as iPhone XR from 2018. Flat photos got a come back.""",@arjunkrishna1,105,2025-02-27T03:31:28Z,neutral,True,True,neutral,False,,False,,False,,False,,False,,
"""that intro alone deserves an oscar LMAOOOOOOOOO""",@alpha_iris4385,48,2025-02-27T02:15:37Z,positive,False,False,,False,,False,,False,,False,,False,,
"""More of this style please! That intro was awesome""",@Germeows,33,2025-02-27T03:46:34Z,positive,False,False,,False,,False,,False,,False,,False,,
"""The nodding at the end of the skit had howling""",@greyvlad,85,2025-02-27T08:41:42Z,positive,False,False,,False,,False,,False,,False,,False,,
"""1:29 The head bob sent me 😂 he jamming to the music in his head""",@MelvinMyla,22,2025-02-27T13:40:22Z,positive,False,False,,False,,False,,False,,False,,False,,
"""The only reason that Apple released the 16e was so they can bump up the prices for the 17 line up this fall. This is why they created the SE it was a prop for so many years so they could then non budget the SE as in the 16e and bump the prices up on the new line up. This is their marketing scheme and so for the next couple budget iPhones in the 3 to 5 years to come they will do this all over again. It’s the only way they can make the people pay more for the main line up and make the price hike seem normal. Apple is greedy and evil but we keep buying cause they make the best of the best if we like it or not.""",@NewBeganningsAgain,1,2025-03-24T04:44:10Z,negative,True,False,,False,,False,,False,,False,True,negative,,
"""The intro skit shock me😂😂😂 how MKBHD use that music lol😂""",@bunlenglay,207,2025-02-27T04:56:38Z,positive,False,False,,False,,False,,False,,False,,False,,
"""One of the best videos you all have done"," hats off MKBHD team""",@Ghostrider91199,27,2025-02-27T03:38:35Z,positive,False,False,,False,,False,,False,,False,,False,
"""Just one word for the introduction. ART.""",@JanetCher1f,425,2025-02-27T18:57:53Z,positive,False,False,,False,,False,,False,,False,,False,,
"""I am glad I found this video"," I almost change my 14 for this phone. I didn’t notice about the camera thank you.""",@Bzayas419,3,2025-03-07T05:33:47Z,neutral,True,True,neutral,False,,False,,False,,False,,False,
"""Nice of Marques's dad to help out with that skit in the beginning""",@itsjusttravis692,180,2025-02-27T06:51:15Z,positive,False,False,,False,,False,,False,,False,,False,,
"""That intro though with the mustache  😂😂😂 0:53""",@swisstheoriginal,75,2025-02-27T08:12:38Z,positive,False,False,,False,,False,,False,,False,,False,,
"""Intro was spot on ! 2","3M views in just 12 hours and without buying views with Fruity Views woww that's impressive !""",@rookieyeah-q1g,596,2025-02-27T14:19:04Z,positive,False,False,,False,,False,,False,,False,,False,
"""When dude said I could compare the performance of iPhones"," I got the oldest iPhone 6s plus ever LOL""",@professionalcarnatics2K,1,2025-03-07T03:30:18Z,neutral,True,False,,True,neutral,False,,False,,False,,,
"""That intro… well done.  Nailed this so well.😊""",@NanjiGaming,102,2025-02-27T02:32:13Z,positive,False,False,,False,,False,,False,,False,,False,,
"""That intro was incredible.""",@unlimitedbag,274,2025-02-27T02:23:36Z,positive,False,False,,False,,False,,False,,False,,False,,
"""Ok i liked the video just after seeing those mustache 😅 😳 😂 🤣 0:10""",@HorizonXG,821,2025-02-27T02:09:57Z,positive,False,False,,False,,False,,False,,False,,False,,
"""Brilliant intro"," makes the point so well""",@AdrianSanabria,182,2025-02-27T03:31:17Z,positive,False,False,,False,,False,,False,,False,,False,
"""The intro is absolutely dope""",@MrMohit1562,353,2025-02-27T06:10:43Z,positive,False,False,,False,,False,,False,,False,,False,,
"""This is gold Marques! The intro is perfect 👌""",@Tsitris46,90,2025-02-27T03:16:19Z,positive,False,False,,False,,False,,False,,False,,False,,
"""I would agree with the iphone15 suggestion except that the battery life in the 16e is SO much better. That’s one factor that literally ever user will notice on a day to day basis and definitely a huge selling point for me. I just upgraded from an SE and although I do wish it was a little cheaper I don’t exactly have buyers regret either. You do compromise on some of the bells and whistles but all in all it’s a good phone with a more than decent camera and superior battery life.""",@peterbroz5835,2,2025-03-06T18:25:30Z,positive,True,True,positive,True,positive,False,,False,False,True,neutral,,,
"""THIS INTRO WAS SO FIRE""",@richieep,133,2025-02-27T03:19:49Z,positive,False,False,,False,,False,,False,,False,,False,,
